StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Growth_Timer_1_First Click,Growth_Timer_1_Last Click,Growth_Timer_1_Page Submit,Growth_Timer_1_Click Count,Growth_Timer_2_First Click,Growth_Timer_2_Last Click,Growth_Timer_2_Page Submit,Growth_Timer_2_Click Count,Fixed_Timer_1_First Click,Fixed_Timer_1_Last Click,Fixed_Timer_1_Page Submit,Fixed_Timer_1_Click Count,Fixed_Timer_2_First Click,Fixed_Timer_2_Last Click,Fixed_Timer_2_Page Submit,Fixed_Timer_2_Click Count,Percep_Fac_Mindset_1,Percep_Fac_Mindset_2,Percep_Fac_Mindset_3,Percep_Fac_Mindset_4,Percep_Fac_Mindset_5,Percep_Stereo_1,Percep_Stereo_2,Belong_1,Belong_2,Belong_3,Belong_4,Personal_Mindset_1,Personal_Mindset_2,Age,Race_Ethn,Race_Ethn_8_TEXT,Gender,Parental_Education,Current_Student,Current_Student_3_TEXT,Study_Purpose,Additional_Thoughts,Data_Quality,Condition
11/30/25 20:50,11/30/25 21:04,0,100,815,1,11/30/25 21:04,,,,,34.1576,-118.2675,anonymous,EN,4,0,0,595.064,0,0,0,85.258,0,,,,,,,,,1,1,6,1,1,1,1,3,3,3,5,1,1,23,2,,2,4,1,,opinions of college courses/professors,,1,Growth
11/30/25 21:00,11/30/25 21:11,0,100,690,1,11/30/25 21:11,,,,,30.1024,-95.2297,anonymous,EN,4,0,0,196.558,0,0,0,90.025,0,,,,,,,,,2,2,6,2,2,1,1,1,2,1,6,3,3,25,2,,1,2,1,,To gage if you're able to make an overall character evaluation of a Professor based on their syllabus writing.,I don't think so.,1,Growth
11/30/25 21:01,11/30/25 21:12,0,100,663,1,11/30/25 21:12,,,,,35.6263,-78.8458,anonymous,EN,4,,,,,,,,,0,0,128.494,0,0,0,168.377,0,6,6,2,6,6,2,3,5,6,5,3,3,2,22,2,,2,3,1,,To get opinions of college students based on syllabus material and the likelihood of them taking the course,No,1,Fixed
11/30/25 21:12,11/30/25 21:18,0,100,363,1,11/30/25 21:18,,,,,40.798,-74.2416,anonymous,EN,4,0,0,103.701,0,0,0,64.462,0,,,,,,,,,3,2,4,2,3,1,1,2,4,4,6,3,4,22,1,,2,5,1,,to see what students think of typical course syllabi,,1,Growth
11/30/25 20:47,11/30/25 21:19,0,100,1967,1,11/30/25 21:19,,,,,27.9929,-82.403,anonymous,EN,4,,,,,,,,,841.774,841.774,842.187,1,0,0,10.9,0,5,4,2,4,4,3,4,5,5,5,2,1,1,22,3,,2,4,1,,To see how students feel about the class of a professor ,No,1,Fixed
11/30/25 21:41,11/30/25 21:46,0,100,344,1,11/30/25 21:46,,,,,34.0582,-118.126,anonymous,EN,4,,,,,,,,,0,0,40.192,0,0,0,30.142,0,6,6,1,6,5,5,5,6,6,6,2,2,2,22,4,,1,4,1,,what we think of the syllabus and class,,1,Fixed
11/30/25 21:44,11/30/25 21:50,0,100,362,1,11/30/25 21:50,,,,,40.0146,-75.7136,anonymous,EN,4,20.315,98.385,99.168,12,11.437,60.014,61.502,9,,,,,,,,,1,1,6,1,1,1,1,2,3,3,5,1,1,22,4,,3,4,1,,I think the purpose may be to assess how the wording of an syllabus affects the perception of a person.,I thought it was an very interesting study! It was fun reading through the syllabus,1,Growth
11/30/25 23:31,11/30/25 23:35,0,100,229,1,11/30/25 23:35,,,,,33.4474,-88.8205,anonymous,EN,4,,,,,,,,,2.849,49.408,49.434,10,15.931,42.372,44.062,3,5,4,3,5,5,1,1,5,5,4,2,5,5,22,1,,1,6,1,,To see if we can make an opinion about a professor based on the syllabus ,No,1,Fixed
11/30/25 23:52,11/30/25 23:57,0,100,302,1,11/30/25 23:57,,,,,33.4494,-112.1941,anonymous,EN,4,,,,,,,,,0,0,102.004,0,0,0,46.952,0,6,6,1,6,6,6,6,6,6,6,1,2,2,25,1,,2,4,1,,Sexism and instructor attitudes,No,1,Fixed
12/1/25 0:00,12/1/25 0:07,0,100,391,1,12/1/25 0:07,,,,,39.5381,-119.8365,anonymous,EN,4,92.333,92.333,93.031,1,0,0,85.818,0,,,,,,,,,1,2,6,1,1,2,1,2,2,3,5,1,1,21,1,,2,4,1,,to see college students opions of this professor,,1,Growth
